"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"superb#strongpositive";"1";"8";"8";"superb";"G";"superb#8"
"unfriendly#negative";"1";"5";"5";"unfriendly";"G";"unfriendly#5"
"smelly#negative";"1";"4";"4";"smelly";"N";"smelly#4"
"ample#positive";"1";"4";"4";"Ample";"R";"ample#4"
"tasteful#positive";"1";"3";"3";"tasteful";"G";"tasteful#3"
"quick#positive";"1";"3";"3";"quick";"G";"quick#3"
"cracked#negative";"1";"2";"2";"cracked";"G";"cracked#2"
"hip#positive";"1";"2";"2";"Hip";"R";"hip#2"
"understanding#positive";"1";"2";"2";"understanding";"G";"understanding#2"
"genuine#positive";"1";"2";"2";"genuine";"R";"genuine#2"
"exceptional#strongpositive";"1";"2";"2";"exceptional";"G";"exceptional#2"
"spacy#positive";"1";"2";"2";"spacy";"N";"spacy#2"
"courteous#positive";"1";"2";"2";"courteous";"G";"courteous#2"
"damaged#negative";"1";"2";"2";"damage";"V";"damaged#2"
"renewed#positive";"1";"2";"2";"renew";"G";"renewed#2"
"fabulous#strongpositive";"1";"2";"2";"fabulous";"G";"fabulous#2"
"weird#negative";"1";"2";"2";"weird";"G";"weird#2"
"incredible#strongpositive";"1";"2";"2";"incredible";"G";"incredible#2"
"go.avoid#negative";"1";"2";"2";"go.avoid";"V";"go.avoid#2"
"accepts#positive";"1";"2";"2";"accept";"V";"accepts#2"
"neat#positive";"1";"2";"2";"neat";"G";"neat#2"
"ordinary#negative";"1";"2";"2";"ordinary";"G";"ordinary#2"
"stylish#positive";"1";"2";"2";"stylish";"G";"stylish#2"
"miserable#negative";"1";"2";"2";"miserable";"G";"miserable#2"
"fantasic#strongpositive";"1";"2";"2";"fantasic";"G";"fantasic#2"
"bright#positive";"1";"2";"2";"bright";"G";"bright#2"
"edible#positive";"1";"2";"2";"edible";"G";"edible#2"
"peaceful#positive";"1";"2";"2";"peaceful";"G";"peaceful#2"
"grey#negative";"1";"2";"2";"grey";"G";"grey#2"
"fine.#positive";"1";"1";"1";"fine.";"V";"fine.#1"
"profession#positive";"1";"1";"1";"profession";"N";"profession#1"
"noises#negative";"1";"1";"1";"noise";"N";"noises#1"
"spectacular#strongpositive";"1";"1";"1";"spectacular";"G";"spectacular#1"
"inedible#negative";"1";"1";"1";"inedible";"G";"inedible#1"
"sewer#negative";"1";"1";"1";"sewer";"G";"sewer#1"
"restful#positive";"1";"1";"1";"restful";"G";"restful#1"
"thick#negative";"1";"1";"1";"thick";"G";"thick#1"
"unexpected#positive";"1";"1";"1";"unexpected";"G";"unexpected#1"
"manicured#positive";"1";"1";"1";"manicure";"V";"manicured#1"
"hushed#positive";"1";"1";"1";"hush";"V";"hushed#1"
"supburb#strongpositive";"1";"1";"1";"supburb";"N";"supburb#1"
"creaky#negative";"1";"1";"1";"creaky";"G";"creaky#1"
"recomend#positive";"1";"1";"1";"recomend";"V";"recomend#1"
"superfriendly#strongpositive";"1";"1";"1";"superfriendly";"A";"superfriendly#1"
"unacceptable#strongnegative";"1";"1";"1";"unacceptable";"G";"unacceptable#1"
"spoilt#positive";"1";"1";"1";"spoilt";"G";"spoilt#1"
"upscale#positive";"1";"1";"1";"upscale";"G";"upscale#1"
"varied#positive";"1";"1";"1";"varied";"G";"varied#1"
"ineffecient#negative";"1";"1";"1";"ineffecient";"G";"ineffecient#1"
"refilled#positive";"1";"1";"1";"refill";"V";"refilled#1"
"refurnished#positive";"1";"1";"1";"refurnish";"V";"refurnished#1"
"destroyed#negative";"1";"1";"1";"destroy";"V";"destroyed#1"
"exposed#negative";"1";"1";"1";"exposed";"G";"exposed#1"
"exceeded#positive";"1";"1";"1";"exceed";"V";"exceeded#1"
"minuscule#strongnegative";"1";"1";"1";"minuscule";"G";"minuscule#1"
