<S> onder;2;2.23;2=-7.86 5=-12.32
muren ,;2;1.97;2=-7.98 5=-11.91
nooit meer;2;1.9;2=-6.62 3=-7.53 4=-9.21 5=-11.63
, vies;2;1.88;2=-7.76 3=-9.48 5=-12.32
tegenvallen PUN;3;1.84;3=-8.63 5=-12.32
moest ik;2;1.82;2=-8.27 5=-11.91
"als """;2;1.82;2=-8.67 5=-12.32
, gordijnen;2;1.82;2=-8.67 5=-12.32
: dit;2;1.82;2=-8.67 5=-12.32
die onder;2;1.82;2=-8.67 5=-12.32
<S> terwijl;3;1.77;3=-8.79 5=-12.32
en el;2;1.73;2=-8.45 5=-11.91
even doorgaan;2;1.73;2=-8.45 5=-11.91
...... </S>;2;1.73;2=-8.45 5=-11.91
""" maar";2;1.73;2=-8.45 5=-11.91
slecht hotel;2;1.7;2=-7.98 3=-8.79 5=-11.91
pers. kamer;2;1.68;2=-8.96 5=-12.32
nou ,;2;1.68;2=-8.96 5=-12.32
manager ,;2;1.68;2=-8.96 5=-12.32
niet onderhouden;2;1.68;2=-8.96 5=-12.32
extra deken;2;1.68;2=-8.96 5=-12.32
staying in;2;1.68;2=-8.96 5=-12.32
maar absoluut;2;1.68;2=-8.96 5=-12.32
meegemaakt in;2;1.68;2=-8.96 5=-12.32
en lift;2;1.68;2=-8.96 5=-12.32
die men;2;1.68;2=-8.96 5=-12.32
groot als;2;1.68;2=-8.96 5=-12.32
boutique hotel;2;1.68;2=-8.96 5=-12.32
iemand van;2;1.68;2=-8.96 5=-12.32
maar niks;2;1.68;2=-8.96 5=-12.32
hygiëne en;2;1.68;2=-8.96 5=-12.32
londen was;2;1.68;2=-8.96 5=-12.32
<S> bezoek;2;1.68;2=-8.96 5=-12.32
grote groepen;2;1.68;2=-8.96 5=-12.32
blijven slapen;2;1.68;2=-8.96 5=-12.32
bent dan;2;1.68;2=-8.96 5=-12.32
geholpen ,;2;1.68;2=-8.96 5=-12.32
een belachelijk;2;1.68;2=-8.96 5=-12.32
geboekt had;2;1.68;2=-8.96 5=-12.32
bad hotel;2;1.68;2=-8.96 5=-12.32
zeer weinig;2;1.68;2=-8.96 5=-12.32
beter zitten;2;1.68;2=-8.96 5=-12.32
het ganse;2;1.68;2=-8.96 5=-12.32
kunt verwachten;2;1.68;2=-8.96 5=-12.32
onvriendelijk ,;2;1.68;2=-8.45 3=-9.19 5=-12.32
<S> hoe;2;1.68;2=-8.45 3=-9.19 5=-12.32
ronduit slecht;2;1.63;2=-7.86 3=-8.5 4=-10.67 5=-11.91
de conciërge;4;1.63;4=-9.06 5=-12.32
schimmel op;2;1.62;2=-8.27 3=-8.97 4=-11.08 5=-12.32
zo kan;2;1.62;2=-8.67 5=-11.91
zo slecht;2;1.61;2=-8.45 4=-11.08 5=-12.32
niet heen;2;1.61;2=-8.45 4=-11.08 5=-12.32
toilet op;2;1.59;2=-8.45 4=-9.98 5=-12.32
ramp PUN;2;1.58;2=-8.45 4=-10.16 5=-12.32
geen 4;2;1.58;2=-7.86 3=-8.5 4=-8.59 5=-11.91
in rekening;2;1.58;2=-8.96 3=-8.97 5=-12.32
tegen elkaar;2;1.58;2=-8.45 4=-10.39 5=-12.32
leek wel;2;1.58;2=-8.45 4=-10.39 5=-12.32
<S> oud;3;1.57;3=-8.38 2=-8.67 4=-10.39 5=-12.32
de grond;2;1.57;2=-7.57 3=-8.28 4=-9.98 5=-11.63
kunt beter;3;1.56;3=-9.19 5=-12.32
wc /;3;1.56;3=-9.19 5=-12.32
handdoeken in;3;1.56;3=-9.19 5=-12.32
het nabijgelegen;3;1.56;3=-9.19 5=-12.32
gunstig ,;3;1.56;3=-9.19 5=-12.32
betere kamer;3;1.56;3=-9.19 5=-12.32
loopafstand ligt;3;1.56;3=-9.19 5=-12.32
de ziggo;3;1.56;3=-9.19 5=-12.32
zo erg;3;1.56;3=-9.19 5=-12.32
gast zo;3;1.56;3=-9.19 5=-12.32
terwijl dit;3;1.56;3=-9.19 5=-12.32
er zou;3;1.56;3=-9.19 5=-12.32
teleurstelling PUN;3;1.56;3=-9.19 5=-12.32
wifi werkte;3;1.56;3=-9.19 5=-12.32
, many;3;1.56;3=-9.19 5=-12.32
persooneel PUN;3;1.56;3=-9.19 5=-12.32
smerig PUN;2;1.55;2=-8.11 3=-9.89 4=-11.08 5=-12.32
<S> nee;2;1.53;2=-8.27 3=-8.97 4=-9.83 5=-12.32
<S> slecht;2;1.52;2=-7.98 3=-8.97 4=-10.67 5=-11.91
doorgaan PUN;2;1.52;2=-8.67 3=-9.89 5=-12.32
nauwelijks PUN;2;1.52;2=-8.67 3=-9.89 5=-12.32
zat vol;2;1.51;2=-8.67 4=-11.08 5=-12.32
deur niet;2;1.51;2=-8.67 4=-11.08 5=-12.32
ondanks alle;2;1.51;2=-8.67 4=-11.08 5=-12.32
<S> dikke;2;1.51;2=-8.67 4=-11.08 5=-12.32
slechte service;3;1.51;3=-8.5 2=-8.96 4=-10.67 5=-12.32
slecht onderhouden;2;1.51;2=-8.45 3=-8.63 4=-11.08 5=-11.91
een klacht;2;1.5;2=-8.45 3=-8.97 4=-9.38 5=-12.32
, slecht;2;1.5;2=-8.67 3=-8.79 4=-10.67 5=-12.32
onvriendelijk personeel;2;1.5;2=-7.42 3=-9.48 4=-11.08
vies en;2;1.5;2=-7.66 3=-8.5 4=-9.83 5=-11.63
niet schoon;2;1.5;2=-7.57 3=-7.94 4=-9.13 5=-11.4
zeer slecht;2;1.49;2=-7.35 3=-8.18 4=-9.83 5=-11.22
elkaar ,;2;1.48;2=-8.67 5=-11.63
het amstel;2;1.48;2=-8.67 5=-11.63
kwam ik;2;1.48;2=-8.67 5=-11.63
open kon;2;1.48;2=-8.96 5=-11.91
, weet;2;1.48;2=-8.96 5=-11.91
niet misleiden;2;1.48;2=-8.96 5=-11.91
kleiner dan;2;1.48;2=-8.96 5=-11.91
we ,;2;1.48;2=-8.96 5=-11.91
ben niet;2;1.48;2=-8.96 5=-11.91
er onder;2;1.48;2=-8.96 5=-11.91
on a;2;1.48;2=-8.96 5=-11.91
na veel;2;1.48;2=-8.96 5=-11.91
plekken en;2;1.48;2=-8.96 5=-11.91
een drie;2;1.48;2=-8.96 5=-11.91
grotere kamers;2;1.48;2=-8.96 5=-11.91
te laden;2;1.48;2=-8.96 5=-11.91
hotel hadden;2;1.48;2=-8.96 5=-11.91
castle hotel;2;1.48;2=-8.96 5=-11.91
misleiden door;2;1.48;2=-8.96 5=-11.91
lawaai maakte;2;1.48;2=-8.96 5=-11.91
... wat;2;1.48;2=-8.96 5=-11.91
vaak niet;2;1.48;2=-9.37 5=-12.32
keer bij;2;1.48;2=-9.37 5=-12.32
lawaai dus;2;1.48;2=-9.37 5=-12.32
hadden bij;2;1.48;2=-9.37 5=-12.32
badkamer waar;2;1.48;2=-9.37 5=-12.32
houd ,;2;1.48;2=-9.37 5=-12.32
trappenhuis en;2;1.48;2=-9.37 5=-12.32
in hetzelfde;2;1.48;2=-9.37 5=-12.32
beveiligde parking;2;1.48;2=-9.37 5=-12.32
niet samen;2;1.48;2=-9.37 5=-12.32
iets waar;2;1.48;2=-9.37 5=-12.32
wasbak en;2;1.48;2=-9.37 5=-12.32
ze die;2;1.48;2=-9.37 5=-12.32
toen werd;2;1.48;2=-9.37 5=-12.32
woorden :;2;1.48;2=-9.37 5=-12.32
going back;2;1.48;2=-9.37 5=-12.32
snelweg PUN;2;1.48;2=-9.37 5=-12.32
willen overnachten;2;1.48;2=-9.37 5=-12.32
kastruimte ,;2;1.48;2=-9.37 5=-12.32
het gevolg;2;1.48;2=-9.37 5=-12.32
het trappenhuis;2;1.48;2=-9.37 5=-12.32
hotels gehad;2;1.48;2=-9.37 5=-12.32
had dat;2;1.48;2=-9.37 5=-12.32
en verzorging;2;1.48;2=-9.37 5=-12.32
het bedrag;2;1.48;2=-9.37 5=-12.32
de buurman;2;1.48;2=-9.37 5=-12.32
( misschien;2;1.48;2=-9.37 5=-12.32
