"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"toiletries#Bathroom";"1";"3";"3";"toiletry";"N";"toiletries#3"
"radio#Facilities";"1";"2";"2";"radio";"N";"radio#2"
"sunbeds#Facilities";"1";"2";"2";"sunbed";"N";"sunbeds#2"
"doors#Interior/exterior";"1";"2";"2";"door";"V";"doors#2"
"skype#Internet";"1";"2";"2";"Skype";"R";"skype#2"
"environment#unknown";"1";"2";"2";"environment";"N";"environment#2"
"carpets#Interior/exterior";"1";"2";"2";"carpet";"N";"carpets#2"
"breads#Breakfast";"1";"2";"2";"bread";"N";"breads#2"
"domicile#unknown";"1";"2";"2";"domicile";"A";"domicile#2"
"beddings#Beds";"1";"2";"2";"bedding";"N";"beddings#2"
"laundry#Facilities";"1";"1";"1";"laundry";"N";"laundry#1"
"jaccuzzi#Facilities";"1";"1";"1";"jaccuzzi";"N";"jaccuzzi#1"
"phones#unknown";"1";"1";"1";"phone";"N";"phones#1"
"sentido#unknown";"1";"1";"1";"Sentido";"R";"sentido#1"
"тhis#unknown";"1";"1";"1";"тhis";"D";"тhis#1"
"sea.very#Location";"1";"1";"1";"sea.very";"N";"sea.very#1"
"ever.staff#Staff";"1";"1";"1";"ever.staff";"N";"ever.staff#1"
"matress#Beds";"1";"1";"1";"Matress";"R";"matress#1"
"there.#unknown";"1";"1";"1";"there.";"A";"there.#1"
"upgrades#Rooms";"1";"1";"1";"upgrade";"N";"upgrades#1"
"forks#Restaurant";"1";"1";"1";"fork";"V";"forks#1"
"mice#unknown";"1";"1";"1";"mouse";"N";"mice#1"
"pillows#Beds";"1";"1";"1";"pillow";"N";"pillows#1"
"climation#unknown";"1";"1";"1";"climation";"N";"climation#1"
"aerobic.they#Staff";"1";"1";"1";"aerobic.They";"R";"aerobic.they#1"
"fingerprints#unknown";"1";"1";"1";"fingerprint";"N";"fingerprints#1"
"unpleasantness#unknown";"1";"1";"1";"unpleasantness";"N";"unpleasantness#1"
"performance#Staff";"1";"1";"1";"performance";"N";"performance#1"
"cleanless#Cleanliness";"1";"1";"1";"cleanless";"G";"cleanless#1"
"foyer#Interior/exterior";"1";"1";"1";"foyer";"N";"foyer#1"
"croissants#Breakfast";"1";"1";"1";"croissant";"N";"croissants#1"
"enterainment#Facilities";"1";"1";"1";"enterainment";"N";"enterainment#1"
"hamam#Facilities";"1";"1";"1";"hamam";"N";"hamam#1"
"desk.#Facilities";"1";"1";"1";"desk.";"N";"desk.#1"
"snorkeling#Facilities";"1";"1";"1";"snorkel";"V";"snorkeling#1"
"tele#Facilities";"1";"1";"1";"Tele";"R";"tele#1"
"pubs#Location";"1";"1";"1";"pub";"N";"pubs#1"
"acommodation#unknown";"1";"1";"1";"acommodation";"N";"acommodation#1"
"products#Restaurant";"1";"1";"1";"product";"N";"products#1"
"linens#Beds";"1";"1";"1";"linen";"N";"linens#1"
"robe#Facilities";"1";"1";"1";"robe";"N";"robe#1"
"coktails.staff#Staff";"1";"1";"1";"coktails.staff";"N";"coktails.staff#1"
"colors#Rooms";"1";"1";"1";"color";"N";"colors#1"
"staff.the#Staff";"1";"1";"1";"staff.the";"D";"staff.the#1"
"time.the#unknown";"1";"1";"1";"time.the";"D";"time.the#1"
"dishwasher#Facilities";"1";"1";"1";"dishwasher";"N";"dishwasher#1"
"whisky#Restaurant";"1";"1";"1";"whisky";"G";"whisky#1"
